Name,SPDXID,Version,DownloadLocation,License
"package-json-from-dist","SPDXRef-Package-package-json-from-dist-1.0.1","1.0.1","https://registry.npmjs.org/package-json-from-dist/-/package-json-from-dist-1.0.1.tgz","BlueOak-1.0.0"
"partial-json","SPDXRef-Package-partial-json-0.1.7","0.1.7","https://registry.npmjs.org/partial-json/-/partial-json-0.1.7.tgz","MIT"
"path-scurry","SPDXRef-Package-path-scurry-1.11.1","1.11.1","https://registry.npmjs.org/path-scurry/-/path-scurry-1.11.1.tgz","BlueOak-1.0.0"
"pend","SPDXRef-Package-pend-1.2.0","1.2.0","https://registry.npmjs.org/pend/-/pend-1.2.0.tgz","MIT"
"pino","SPDXRef-Package-pino-10.3.1","10.3.1","https://registry.npmjs.org/pino/-/pino-10.3.1.tgz","MIT"
"pino-abstract-transport","SPDXRef-Package-pino-abstract-transport-3.0.0","3.0.0","https://registry.npmjs.org/pino-abstract-transport/-/pino-abstract-transport-3.0.0.tgz","MIT"
"pino-pretty","SPDXRef-Package-pino-pretty-13.1.3","13.1.3","https://registry.npmjs.org/pino-pretty/-/pino-pretty-13.1.3.tgz","MIT"
"pino-std-serializers","SPDXRef-Package-pino-std-serializers-7.1.0","7.1.0","https://registry.npmjs.org/pino-std-serializers/-/pino-std-serializers-7.1.0.tgz","MIT"
"process-nextick-args","SPDXRef-Package-process-nextick-args-2.0.1","2.0.1","https://registry.npmjs.org/process-nextick-args/-/process-nextick-args-2.0.1.tgz","MIT"
"process-warning","SPDXRef-Package-process-warning-5.1.0","5.1.0","https://registry.npmjs.org/process-warning/-/process-warning-5.1.0.tgz","MIT"
"proper-lockfile","SPDXRef-Package-proper-lockfile-4.1.2","4.1.2","https://registry.npmjs.org/proper-lockfile/-/proper-lockfile-4.1.2.tgz","MIT"
"proxy-from-env","SPDXRef-Package-proxy-from-env-2.1.0","2.1.0","https://registry.npmjs.org/proxy-from-env/-/proxy-from-env-2.1.0.tgz","MIT"
"pump","SPDXRef-Package-pump-3.0.4","3.0.4","https://registry.npmjs.org/pump/-/pump-3.0.4.tgz","MIT"
"pyodide","SPDXRef-Package-pyodide-0.28.2","0.28.2","https://registry.npmjs.org/pyodide/-/pyodide-0.28.2.tgz","MPL-2.0"
"quick-format-unescaped","SPDXRef-Package-quick-format-unescaped-4.0.4","4.0.4","https://registry.npmjs.org/quick-format-unescaped/-/quick-format-unescaped-4.0.4.tgz","MIT"
"readable-stream","SPDXRef-Package-readable-stream-2.3.8","2.3.8","https://registry.npmjs.org/readable-stream/-/readable-stream-2.3.8.tgz","MIT"
"readable-stream","SPDXRef-Package-readable-stream-4.7.0","4.7.0","https://registry.npmjs.org/readable-stream/-/readable-stream-4.7.0.tgz","MIT"
"readdir-glob","SPDXRef-Package-readdir-glob-1.1.3","1.1.3","https://registry.npmjs.org/readdir-glob/-/readdir-glob-1.1.3.tgz","Apache-2.0"
"real-require","SPDXRef-Package-real-require-0.2.0","0.2.0","https://registry.npmjs.org/real-require/-/real-require-0.2.0.tgz","MIT"
"real-require","SPDXRef-Package-real-require-1.0.0","1.0.0","https://registry.npmjs.org/real-require/-/real-require-1.0.0.tgz","MIT"
"require-in-the-middle","SPDXRef-Package-require-in-the-middle-8.0.1","8.0.1","https://registry.npmjs.org/require-in-the-middle/-/require-in-the-middle-8.0.1.tgz","MIT"
"retry","SPDXRef-Package-retry-0.12.0","0.12.0","https://registry.npmjs.org/retry/-/retry-0.12.0.tgz","MIT"
"safe-buffer","SPDXRef-Package-safe-buffer-5.1.2","5.1.2","https://registry.npmjs.org/safe-buffer/-/safe-buffer-5.1.2.tgz","MIT"
"safe-stable-stringify","SPDXRef-Package-safe-stable-stringify-2.5.0","2.5.0","https://registry.npmjs.org/safe-stable-stringify/-/safe-stable-stringify-2.5.0.tgz","MIT"
"secure-json-parse","SPDXRef-Package-secure-json-parse-4.1.0","4.1.0","https://registry.npmjs.org/secure-json-parse/-/secure-json-parse-4.1.0.tgz","BSD-3-Clause"
"signal-exit","SPDXRef-Package-signal-exit-3.0.7","3.0.7","https://registry.npmjs.org/signal-exit/-/signal-exit-3.0.7.tgz","ISC"
"signal-exit","SPDXRef-Package-signal-exit-4.1.0","4.1.0","https://registry.npmjs.org/signal-exit/-/signal-exit-4.1.0.tgz","ISC"
"sonic-boom","SPDXRef-Package-sonic-boom-4.2.1","4.2.1","https://registry.npmjs.org/sonic-boom/-/sonic-boom-4.2.1.tgz","MIT"
"split2","SPDXRef-Package-split2-4.2.0","4.2.0","https://registry.npmjs.org/split2/-/split2-4.2.0.tgz","ISC"
"streamx","SPDXRef-Package-streamx-2.28.0","2.28.0","https://registry.npmjs.org/streamx/-/streamx-2.28.0.tgz","MIT"
